soc,title,linguistic,logical,spatial,kinesthetic,musical,interpersonal,intrapersonal,naturalistic,linguistic_z,logical_z,spatial_z,kinesthetic_z,musical_z,interpersonal_z,intrapersonal_z,naturalistic_z,linguistic_pct,logical_pct,spatial_pct,kinesthetic_pct,musical_pct,interpersonal_pct,intrapersonal_pct,naturalistic_pct
29-2092.00,Hearing Aid Specialists,17.48,12.64,9.91,6.1,11.03,18.65,13.93,10.25,-0.285,-0.699,-0.715,-0.264,1.206,1.231,-0.156,-0.916,38.8,26.3,29.9,48.4,86.0,86.8,47.4,17.2
51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",12.86,12.35,13.02,15.06,12.36,9.55,11.93,12.88,-1.46,-0.804,0.545,1.446,1.592,-1.415,-0.867,0.444,6.3,22.4,69.2,89.5,92.3,5.3,22.0,73.0
49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",12.82,14.78,14.02,12.07,10.27,12.59,11.67,11.79,-1.47,0.077,0.95,0.875,0.986,-0.531,-0.959,-0.12,6.0,60.5,81.7,74.3,82.4,36.7,19.9,50.2
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,13.43,10.47,15.06,15.95,13.89,10.47,9.54,11.18,-1.315,-1.486,1.371,1.616,2.035,-1.147,-1.716,-0.435,8.8,2.8,90.5,93.2,97.3,12.9,0.9,35.0
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",11.59,11.19,15.96,18.0,11.84,9.42,10.89,11.11,-1.783,-1.225,1.735,2.007,1.441,-1.453,-1.237,-0.471,2.0,6.8,95.0,98.4,89.9,4.4,9.8,33.8
47-3012.00,Helpers--Carpenters,14.57,13.3,14.28,13.79,9.81,12.56,10.78,10.9,-1.025,-0.46,1.055,1.203,0.853,-0.54,-1.276,-0.58,18.6,37.6,85.1,84.2,79.6,36.4,8.7,29.3
47-3013.00,Helpers--Electricians,14.04,13.59,16.5,14.46,6.42,12.78,10.33,11.87,-1.16,-0.355,1.954,1.331,-0.129,-0.476,-1.436,-0.078,13.9,42.8,97.3,87.0,52.3,38.1,3.7,52.0
47-5081.00,Helpers--Extraction Workers,11.37,11.23,13.85,17.19,13.67,9.76,12.22,10.71,-1.839,-1.21,0.881,1.852,1.971,-1.354,-0.764,-0.678,1.2,7.3,79.0,97.3,96.5,6.2,27.2,25.5
49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",12.65,12.85,14.44,15.08,11.77,11.29,10.85,11.06,-1.513,-0.623,1.12,1.45,1.421,-0.909,-1.251,-0.497,5.0,29.0,86.4,89.6,89.3,21.9,9.4,32.6
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",13.02,9.76,13.94,18.58,11.42,11.06,11.46,10.76,-1.419,-1.744,0.917,2.117,1.319,-0.976,-1.034,-0.652,7.3,0.9,80.5,99.1,87.7,19.5,17.1,26.6
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",14.2,13.42,14.62,16.51,6.5,14.32,10.71,9.71,-1.119,-0.416,1.193,1.722,-0.106,-0.028,-1.3,-1.195,15.4,39.6,87.5,95.2,52.8,52.2,7.8,9.5
51-9198.00,Helpers--Production Workers,13.49,11.69,14.27,16.58,12.21,9.01,10.19,12.57,-1.299,-1.044,1.051,1.736,1.548,-1.572,-1.485,0.283,9.6,12.8,84.8,95.4,91.4,3.0,2.8,67.8
47-3016.00,Helpers--Roofers,11.85,11.78,13.65,17.07,12.29,12.53,10.76,10.06,-1.717,-1.011,0.8,1.829,1.571,-0.548,-1.283,-1.014,2.2,13.4,76.2,97.0,91.8,36.1,8.5,13.6
47-4051.00,Highway Maintenance Workers,13.7,11.38,13.0,15.37,13.59,11.87,9.82,11.25,-1.246,-1.156,0.537,1.505,1.948,-0.74,-1.617,-0.399,11.7,8.7,69.0,91.1,96.2,29.2,1.7,36.8
29-2012.01,Histology Technicians,17.38,14.68,11.99,9.86,5.78,10.0,14.2,16.11,-0.31,0.041,0.128,0.453,-0.314,-1.284,-0.06,2.113,38.1,59.3,56.8,66.1,45.4,9.1,50.6,95.6
19-3093.00,Historians,26.35,13.25,9.85,1.2,4.56,13.76,18.36,12.68,1.971,-0.478,-0.739,-1.199,-0.667,-0.191,1.418,0.34,97.2,36.6,28.7,5.4,30.1,47.3,91.7,70.0
25-1125.00,"History Teachers, Postsecondary",26.07,13.43,7.55,0.81,2.62,16.69,20.85,11.97,1.9,-0.413,-1.67,-1.274,-1.229,0.661,2.302,-0.027,96.4,39.9,1.9,0.2,6.5,71.5,98.3,54.5
29-2011.04,Histotechnologists,17.53,13.85,12.22,8.41,5.82,12.02,13.85,16.31,-0.272,-0.26,0.221,0.177,-0.303,-0.697,-0.185,2.217,39.3,45.9,59.2,60.2,45.6,30.8,46.5,96.4
53-7041.00,Hoist and Winch Operators,12.54,11.23,13.68,14.4,13.73,11.71,11.99,10.72,-1.541,-1.21,0.812,1.32,1.988,-0.787,-0.846,-0.673,4.3,7.3,76.8,86.8,96.9,27.2,23.8,25.7
49-9031.00,Home Appliance Repairers,14.73,12.94,12.75,13.5,11.75,12.88,11.17,10.3,-0.984,-0.59,0.435,1.148,1.415,-0.447,-1.137,-0.89,19.6,30.8,65.3,81.3,88.9,39.1,14.3,17.9
31-1121.00,Home Health Aides,18.49,12.43,11.03,9.55,6.8,16.02,15.57,10.12,-0.028,-0.775,-0.261,0.394,-0.019,0.466,0.426,-0.983,49.3,23.8,44.6,65.2,55.9,65.7,67.7,14.5
29-1229.02,Hospitalists,18.9,14.83,9.16,3.37,3.75,16.93,18.32,14.75,0.076,0.095,-1.018,-0.785,-0.902,0.731,1.403,1.41,52.8,61.3,17.4,31.9,21.1,73.7,91.4,91.2
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",20.37,12.15,9.84,6.88,6.09,19.63,12.96,12.08,0.45,-0.877,-0.743,-0.115,-0.224,1.516,-0.501,0.03,68.7,19.0,28.3,52.3,48.8,92.3,36.1,56.9
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",22.37,14.2,9.24,4.07,6.68,19.51,13.36,10.58,0.959,-0.133,-0.986,-0.652,-0.053,1.481,-0.359,-0.745,83.7,52.0,18.5,36.9,54.4,91.8,40.7,23.3
17-2112.01,Human Factors Engineers and Ergonomists,20.6,17.78,12.8,1.47,2.8,14.93,17.56,12.06,0.509,1.165,0.456,-1.148,-1.177,0.149,1.133,0.02,70.5,86.4,66.1,10.2,7.8,56.8,85.1,56.3
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",25.77,14.2,9.08,1.08,2.87,20.04,16.59,10.38,1.823,-0.133,-1.051,-1.222,-1.157,1.635,0.789,-0.849,96.1,52.0,15.5,3.2,8.5,94.0,78.2,19.8
11-3121.00,Human Resources Managers,21.71,15.46,8.72,1.61,3.1,21.67,18.1,9.63,0.791,0.324,-1.197,-1.121,-1.09,2.109,1.325,-1.236,79.1,69.4,10.1,14.0,11.2,98.7,89.3,8.3
13-1071.00,Human Resources Specialists,24.77,15.46,8.33,1.42,2.69,20.17,17.46,9.72,1.569,0.324,-1.355,-1.157,-1.209,1.673,1.098,-1.19,93.5,69.4,6.8,8.8,7.2,95.3,84.6,9.7
51-8013.04,Hydroelectric Plant Technicians,13.91,16.01,13.64,11.44,9.85,11.21,11.74,12.2,-1.193,0.523,0.796,0.755,0.865,-0.932,-0.935,0.092,13.3,73.3,76.0,71.5,80.0,21.3,20.4,59.4
11-3051.06,Hydroelectric Production Managers,18.03,15.42,11.43,5.75,7.9,14.42,15.09,11.95,-0.145,0.309,-0.099,-0.331,0.3,0.001,0.256,-0.037,44.9,68.7,49.3,46.3,66.1,53.5,60.7,54.0
19-2043.00,Hydrologists,19.42,19.58,10.81,3.81,3.94,11.31,15.02,16.1,0.209,1.818,-0.35,-0.701,-0.847,-0.903,0.231,2.108,58.3,93.6,41.8,35.7,23.3,22.3,60.2,95.5
19-2041.03,Industrial Ecologists,20.89,20.64,11.45,1.4,3.17,11.99,15.13,15.35,0.582,2.202,-0.091,-1.161,-1.07,-0.705,0.27,1.72,72.8,97.0,49.8,8.5,12.4,30.3,61.2,94.1
17-3026.00,Industrial Engineering Technologists and Technicians,17.95,18.7,13.68,4.83,5.95,11.8,14.16,12.94,-0.165,1.499,0.812,-0.507,-0.265,-0.761,-0.075,0.475,43.3,90.5,76.8,41.4,47.1,28.4,50.2,73.6
17-2112.00,Industrial Engineers,19.76,17.93,13.43,3.01,7.12,12.25,14.48,12.02,0.295,1.219,0.711,-0.854,0.074,-0.63,0.039,-0.001,62.4,87.2,73.5,29.1,59.1,33.1,54.7,55.1
49-9041.00,Industrial Machinery Mechanics,12.39,12.86,13.51,15.64,14.86,8.13,12.32,10.28,-1.579,-0.619,0.743,1.556,2.316,-1.828,-0.728,-0.9,3.6,29.3,74.6,91.9,98.4,0.7,28.4,17.7
11-3051.00,Industrial Production Managers,17.66,16.16,10.14,4.96,5.96,15.71,17.66,11.75,-0.239,0.577,-0.622,-0.482,-0.262,0.376,1.169,-0.14,40.4,74.6,32.8,42.2,47.2,63.0,86.5,48.7
53-7051.00,Industrial Truck and Tractor Operators,12.42,10.59,15.97,17.72,14.61,9.02,8.77,10.92,-1.572,-1.443,1.739,1.953,2.243,-1.569,-1.99,-0.569,3.7,3.5,95.2,98.0,98.3,3.4,0.3,29.8
19-3032.00,Industrial-Organizational Psychologists,21.33,17.2,8.39,1.26,1.59,20.13,19.51,10.59,0.694,0.955,-1.33,-1.188,-1.528,1.661,1.826,-0.74,76.2,83.3,7.4,6.5,1.3,95.0,95.4,23.4
15-1212.00,Information Security Analysts,21.21,18.57,11.35,2.61,3.4,14.01,16.47,12.37,0.664,1.451,-0.132,-0.93,-1.003,-0.118,0.746,0.18,75.2,89.7,48.5,24.8,15.1,49.9,77.0,63.5
15-1299.05,Information Security Engineers,21.91,18.65,11.82,2.34,3.04,13.71,16.57,11.96,0.842,1.48,0.059,-0.982,-1.108,-0.205,0.782,-0.032,80.5,90.2,54.3,22.8,10.6,46.9,77.9,54.1
15-1299.09,Information Technology Project Managers,21.1,17.56,10.53,1.13,4.13,18.07,16.78,10.7,0.636,1.085,-0.464,-1.213,-0.792,1.062,0.856,-0.683,74.5,85.2,38.4,3.8,24.8,82.3,79.4,25.2
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",17.37,13.47,13.43,9.09,8.87,11.7,11.6,14.47,-0.313,-0.398,0.711,0.306,0.581,-0.79,-0.984,1.266,37.9,40.7,73.5,63.2,73.7,26.8,18.8,89.6
25-9031.00,Instructional Coordinators,22.24,15.14,9.34,1.57,3.52,18.19,19.64,10.36,0.926,0.207,-0.946,-1.129,-0.969,1.097,1.872,-0.859,82.9,65.9,19.8,12.6,17.4,83.3,95.9,18.9
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",13.23,11.17,14.26,17.32,10.57,11.05,11.48,10.9,-1.366,-1.232,1.047,1.877,1.073,-0.979,-1.027,-0.58,7.9,6.5,84.6,97.4,83.8,19.4,17.4,29.3
