soc,title,linguistic,logical,spatial,kinesthetic,musical,interpersonal,intrapersonal,naturalistic,linguistic_z,logical_z,spatial_z,kinesthetic_z,musical_z,interpersonal_z,intrapersonal_z,naturalistic_z,linguistic_pct,logical_pct,spatial_pct,kinesthetic_pct,musical_pct,interpersonal_pct,intrapersonal_pct,naturalistic_pct
53-4011.00,Locomotive Engineers,14.48,10.59,14.23,12.94,14.14,9.43,12.61,11.58,-1.048,-1.443,1.035,1.041,2.107,-1.45,-0.625,-0.228,18.1,3.5,84.5,78.7,97.8,4.6,31.5,44.4
11-9081.00,Lodging Managers,20.45,14.9,8.72,4.48,4.72,20.64,16.82,9.26,0.47,0.12,-1.197,-0.573,-0.621,1.809,0.87,-1.428,69.1,62.5,10.1,39.5,32.4,96.5,79.8,5.5
45-4023.00,Log Graders and Scalers,15.25,13.99,13.87,9.77,8.49,12.03,12.22,14.36,-0.852,-0.21,0.889,0.436,0.471,-0.694,-0.764,1.209,23.4,48.8,79.3,65.9,70.5,31.1,27.2,89.0
45-4022.00,Logging Equipment Operators,11.24,10.57,15.49,17.12,14.05,8.67,10.17,12.69,-1.872,-1.45,1.545,1.839,2.081,-1.671,-1.492,0.345,0.7,3.1,93.1,97.2,97.7,2.0,2.7,70.2
13-1081.00,Logisticians,20.2,17.79,10.49,1.72,3.41,17.33,16.79,12.28,0.407,1.169,-0.48,-1.1,-1.001,0.847,0.86,0.134,66.8,86.5,37.8,16.1,15.2,77.1,79.5,60.9
13-1081.02,Logistics Analysts,20.59,19.48,10.86,1.58,4.19,13.95,16.32,13.04,0.506,1.781,-0.33,-1.127,-0.775,-0.136,0.693,0.526,70.2,93.3,42.5,13.1,25.7,49.4,75.4,75.6
13-1081.01,Logistics Engineers,19.58,20.44,12.46,1.67,4.31,13.09,16.0,12.45,0.249,2.13,0.318,-1.11,-0.74,-0.386,0.579,0.221,60.0,96.5,62.8,15.1,26.8,41.5,73.4,64.8
11-9199.08,Loss Prevention Managers,19.36,15.48,10.45,4.3,4.99,18.07,17.24,10.12,0.193,0.331,-0.496,-0.608,-0.543,1.062,1.02,-0.983,57.8,69.7,37.4,38.3,35.9,82.3,83.0,14.5
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",20.31,13.19,9.39,4.24,5.23,18.04,19.56,10.04,0.435,-0.5,-0.925,-0.619,-0.473,1.054,1.844,-1.024,67.8,35.5,21.0,37.9,39.6,81.7,95.5,13.4
53-7063.00,Machine Feeders and Offbearers,15.45,11.71,12.83,15.31,11.9,9.52,10.44,12.84,-0.801,-1.036,0.468,1.493,1.458,-1.424,-1.396,0.423,25.1,12.9,66.8,90.9,90.3,5.0,4.6,72.6
51-4041.00,Machinists,13.59,13.73,14.44,14.17,10.82,9.89,11.99,11.36,-1.274,-0.304,1.12,1.276,1.146,-1.316,-0.846,-0.342,10.5,44.1,86.4,86.2,84.8,7.9,23.8,39.4
29-2035.00,Magnetic Resonance Imaging Technologists,18.53,13.61,10.77,8.3,8.77,13.94,14.21,11.86,-0.018,-0.347,-0.366,0.156,0.552,-0.138,-0.057,-0.084,49.7,43.1,41.1,59.8,72.8,49.3,50.8,51.8
37-2012.00,Maids and Housekeeping Cleaners,17.59,10.84,11.68,13.78,5.67,18.68,11.17,10.58,-0.257,-1.352,0.002,1.201,-0.346,1.24,-1.137,-0.745,39.8,4.8,52.5,84.0,43.7,87.0,14.3,23.3
43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",17.94,12.95,11.71,12.24,6.88,14.24,12.31,11.72,-0.168,-0.587,0.014,0.908,0.004,-0.051,-0.732,-0.156,43.0,31.0,53.2,75.7,57.0,51.8,28.0,47.7
49-9043.00,"Maintenance Workers, Machinery",14.24,12.64,14.72,14.89,10.87,9.84,10.36,12.43,-1.109,-0.699,1.233,1.413,1.16,-1.331,-1.425,0.211,15.8,26.3,88.1,88.7,85.1,7.3,3.9,64.5
49-9071.00,"Maintenance and Repair Workers, General",14.79,12.65,13.9,14.14,11.35,9.82,11.93,11.42,-0.969,-0.696,0.901,1.27,1.299,-1.336,-0.867,-0.311,19.9,26.4,79.9,86.0,86.8,7.0,22.0,40.7
39-5091.00,"Makeup Artists, Theatrical and Performance",17.18,10.81,16.8,8.79,8.28,13.6,12.29,12.25,-0.361,-1.363,2.076,0.249,0.41,-0.237,-0.739,0.118,36.6,4.6,97.9,62.0,68.0,45.5,27.6,60.1
13-1111.00,Management Analysts,22.76,17.78,9.1,1.39,2.71,18.51,17.16,10.58,1.058,1.165,-1.043,-1.163,-1.203,1.19,0.991,-0.745,85.6,86.4,16.2,8.2,7.3,85.3,82.1,23.3
39-5092.00,Manicurists and Pedicurists,17.12,11.34,12.81,9.22,7.45,16.9,13.34,11.83,-0.376,-1.171,0.46,0.331,0.17,0.722,-0.366,-0.099,36.1,8.2,66.3,63.6,62.1,73.6,40.4,51.0
49-9095.00,Manufactured Building and Mobile Home Installers,12.23,12.07,15.43,15.25,9.38,12.68,12.39,10.56,-1.62,-0.906,1.521,1.482,0.728,-0.505,-0.704,-0.756,3.0,18.0,92.5,90.6,77.3,37.1,29.2,22.0
17-2112.03,Manufacturing Engineers,17.13,18.09,13.6,5.21,7.27,11.16,14.51,13.03,-0.374,1.277,0.78,-0.434,0.117,-0.947,0.05,0.521,36.2,88.3,75.7,43.5,60.7,20.7,55.1,75.4
17-2121.00,Marine Engineers and Naval Architects,18.0,18.69,13.48,5.85,6.21,11.61,13.65,12.51,-0.153,1.495,0.731,-0.312,-0.19,-0.816,-0.256,0.252,44.5,90.4,74.3,47.0,49.9,25.6,44.1,66.3
13-1161.00,Market Research Analysts and Marketing Specialists,23.03,18.44,9.47,1.4,3.39,15.96,16.13,12.18,1.127,1.404,-0.893,-1.161,-1.006,0.449,0.625,0.082,86.8,89.3,22.5,8.5,14.8,65.1,74.2,58.5
11-2021.00,Marketing Managers,21.62,16.61,11.45,1.58,3.22,17.32,17.41,10.81,0.768,0.741,-0.091,-1.127,-1.056,0.844,1.08,-0.626,78.6,78.4,49.8,13.1,13.3,77.0,84.0,27.1
21-1013.00,Marriage and Family Therapists,20.47,14.27,7.91,1.28,3.35,22.16,20.88,9.68,0.476,-0.108,-1.525,-1.184,-1.018,2.251,2.313,-1.21,69.4,52.9,3.7,6.8,14.4,99.1,98.4,9.4
31-9011.00,Massage Therapists,19.13,11.57,8.78,13.63,2.14,17.79,16.7,10.25,0.135,-1.087,-1.172,1.173,-1.368,0.981,0.828,-0.916,55.4,11.1,10.9,82.3,4.6,80.0,78.7,17.2
17-2131.00,Materials Engineers,19.07,20.28,12.38,3.54,4.06,11.77,13.61,15.3,0.12,2.072,0.286,-0.753,-0.812,-0.769,-0.27,1.695,54.6,95.9,61.7,33.0,24.2,28.1,43.5,93.7
19-2032.00,Materials Scientists,19.32,21.67,12.12,2.24,3.82,10.74,14.55,15.54,0.183,2.576,0.18,-1.001,-0.882,-1.069,0.064,1.819,57.5,98.8,58.5,22.4,21.7,15.5,55.6,94.3
25-1022.00,"Mathematical Science Teachers, Postsecondary",23.88,20.73,8.38,1.21,1.5,14.99,19.64,9.67,1.343,2.235,-1.334,-1.197,-1.554,0.167,1.872,-1.216,90.4,97.2,7.3,5.6,0.9,57.2,95.9,9.3
15-2021.00,Mathematicians,20.73,24.64,9.97,1.68,1.2,11.09,18.01,12.68,0.542,3.653,-0.69,-1.108,-1.641,-0.967,1.293,0.34,71.5,99.9,31.1,15.5,0.2,19.6,88.8,70.0
51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",13.59,12.85,10.77,11.77,8.44,13.23,11.12,18.24,-1.274,-0.623,-0.366,0.818,0.456,-0.345,-1.155,3.214,10.5,29.0,41.1,73.4,69.6,43.2,13.6,99.9
49-9011.00,Mechanical Door Repairers,14.38,12.48,13.95,14.56,9.28,13.38,11.4,10.57,-1.073,-0.757,0.921,1.35,0.7,-0.301,-1.055,-0.75,17.3,24.8,80.9,87.4,76.5,44.1,16.7,22.6
17-3013.00,Mechanical Drafters,16.89,18.93,19.06,4.3,4.89,11.27,13.08,11.57,-0.435,1.582,2.991,-0.608,-0.572,-0.915,-0.458,-0.233,34.7,91.3,99.8,38.3,34.7,21.8,37.6,44.1
17-3027.00,Mechanical Engineering Technologists and Technicians,17.28,17.05,14.17,8.27,7.98,10.8,11.84,12.61,-0.336,0.9,1.011,0.15,0.323,-1.051,-0.899,0.304,37.1,82.2,83.3,59.6,66.6,16.4,21.1,68.5
17-2141.00,Mechanical Engineers,17.98,19.45,15.01,3.17,5.75,11.32,13.99,13.32,-0.158,1.771,1.351,-0.823,-0.323,-0.9,-0.135,0.671,43.7,93.1,90.3,30.3,45.0,22.5,48.1,78.6
17-2199.05,Mechatronics Engineers,18.66,18.61,14.23,3.8,7.75,10.75,13.89,12.32,0.015,1.466,1.035,-0.703,0.256,-1.066,-0.171,0.154,50.4,89.9,84.5,35.5,64.8,15.8,47.0,62.2
27-2012.03,Media Programming Directors,22.34,16.12,10.0,3.29,4.93,16.63,16.52,10.17,0.951,0.563,-0.678,-0.8,-0.56,0.644,0.764,-0.957,83.4,74.4,31.4,31.1,35.0,70.7,77.3,16.2
27-2012.05,Media Technical Directors/Managers,20.1,14.6,12.18,5.17,7.19,12.91,15.76,12.08,0.381,0.012,0.205,-0.442,0.094,-0.438,0.494,0.03,66.0,57.9,58.8,43.2,59.7,39.4,70.0,56.9
51-9082.00,Medical Appliance Technicians,16.07,13.51,13.97,10.52,10.08,12.52,12.13,11.19,-0.643,-0.384,0.93,0.579,0.931,-0.551,-0.796,-0.43,29.6,41.6,81.2,68.0,81.5,35.8,25.8,35.2
31-9092.00,Medical Assistants,20.87,13.21,10.19,5.89,5.28,17.68,15.64,11.24,0.577,-0.492,-0.601,-0.304,-0.459,0.949,0.451,-0.404,72.5,35.9,33.8,47.2,40.4,78.7,68.6,36.7
29-2036.00,Medical Dosimetrists,19.68,18.06,11.88,3.96,4.54,12.83,15.2,13.85,0.275,1.266,0.083,-0.673,-0.673,-0.461,0.295,0.945,61.3,87.7,55.4,36.6,29.9,38.4,62.4,84.9
31-9093.00,Medical Equipment Preparers,15.68,11.68,12.04,10.83,9.24,13.8,12.91,13.83,-0.743,-1.047,0.148,0.638,0.688,-0.179,-0.519,0.935,26.8,12.5,57.4,69.1,76.2,47.5,35.8,84.5
49-9062.00,Medical Equipment Repairers,14.8,14.83,13.69,12.13,8.97,11.86,11.98,11.74,-0.966,0.095,0.816,0.887,0.61,-0.743,-0.849,-0.146,20.0,61.3,77.0,74.8,74.7,29.0,23.4,48.4
19-1042.00,"Medical Scientists, Except Epidemiologists",20.79,17.97,9.55,3.04,2.86,10.83,17.0,17.94,0.557,1.234,-0.86,-0.848,-1.16,-1.043,0.934,3.059,71.9,87.4,23.7,29.3,8.3,16.9,81.2,99.1
43-6013.00,Medical Secretaries and Administrative Assistants,26.55,14.84,8.78,3.37,3.45,19.88,12.81,10.32,2.022,0.099,-1.172,-0.785,-0.989,1.588,-0.554,-0.88,97.7,61.6,10.9,31.9,15.9,93.2,34.3,18.2
31-9094.00,Medical Transcriptionists,29.46,12.78,10.37,4.86,5.98,11.79,13.26,11.5,2.762,-0.648,-0.528,-0.501,-0.256,-0.764,-0.394,-0.27,99.3,28.1,35.6,41.6,47.4,28.3,39.6,42.2
29-2012.00,Medical and Clinical Laboratory Technicians,16.36,15.04,11.6,8.74,7.74,12.35,12.58,15.58,-0.57,0.171,-0.03,0.24,0.254,-0.601,-0.636,1.839,31.2,64.5,51.8,61.7,64.7,34.1,31.2,94.5
29-2011.00,Medical and Clinical Laboratory Technologists,16.33,16.83,11.6,7.61,4.46,13.03,13.49,16.65,-0.577,0.82,-0.03,0.024,-0.696,-0.403,-0.313,2.392,30.9,80.4,51.8,56.6,29.1,40.8,42.1,97.1
11-9111.00,Medical and Health Services Managers,20.98,16.39,8.61,1.37,4.3,20.54,17.63,10.18,0.605,0.661,-1.241,-1.167,-0.743,1.78,1.158,-0.952,73.3,76.8,9.1,7.7,26.7,96.2,86.0,16.3
13-1121.00,"Meeting, Convention, and Event Planners",22.47,15.05,10.42,4.53,4.64,18.23,15.11,9.54,0.984,0.175,-0.508,-0.564,-0.644,1.109,0.263,-1.283,84.2,64.7,36.7,39.6,31.3,83.7,61.0,7.6
21-1014.00,Mental Health Counselors,21.3,14.4,7.36,1.39,2.69,22.9,20.04,9.92,0.687,-0.061,-1.747,-1.163,-1.209,2.466,2.015,-1.086,76.0,55.1,1.0,8.2,7.2,99.8,96.9,11.5
21-1023.00,Mental Health and Substance Abuse Social Workers,19.77,13.94,8.31,2.18,5.41,20.91,19.66,9.84,0.298,-0.228,-1.363,-1.012,-0.421,1.888,1.88,-1.128,62.6,47.9,6.7,21.6,42.1,97.8,96.0,11.0
27-1026.00,Merchandise Displayers and Window Trimmers,18.21,12.45,15.1,11.61,5.34,13.9,12.17,11.23,-0.099,-0.768,1.387,0.787,-0.442,-0.15,-0.782,-0.409,46.8,24.2,91.1,72.3,41.2,48.4,26.6,36.5
51-4051.00,Metal-Refining Furnace Operators and Tenders,12.36,12.51,12.66,15.1,13.63,9.74,11.39,12.62,-1.587,-0.746,0.399,1.453,1.959,-1.36,-1.059,0.309,3.5,25.2,64.2,89.8,96.4,6.0,16.6,69.0
43-5041.00,"Meter Readers, Utilities",16.5,13.08,12.64,12.26,8.46,13.3,11.98,11.78,-0.534,-0.54,0.391,0.911,0.462,-0.325,-0.849,-0.125,32.7,33.4,64.0,75.8,70.1,43.6,23.4,49.6
19-1022.00,Microbiologists,18.98,17.26,10.73,4.83,3.46,11.38,15.2,18.16,0.097,0.976,-0.383,-0.507,-0.986,-0.883,0.295,3.173,53.6,83.6,40.2,41.4,16.1,23.3,62.4,99.7
17-2199.06,Microsystems Engineers,18.61,19.58,13.31,4.72,6.17,10.96,14.09,12.57,0.003,1.818,0.662,-0.528,-0.201,-1.005,-0.1,0.283,50.1,93.6,71.7,40.7,49.6,17.9,49.2,67.8
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",21.53,14.28,8.78,1.53,4.98,17.26,21.25,10.38,0.745,-0.104,-1.172,-1.136,-0.546,0.827,2.445,-0.849,77.7,53.2,10.9,11.7,35.8,76.6,98.9,19.8
29-9099.01,Midwives,17.38,13.68,9.22,5.61,5.04,19.15,18.11,11.82,-0.31,-0.322,-0.994,-0.358,-0.528,1.376,1.329,-0.104,38.1,43.6,18.0,45.4,36.6,89.7,89.5,50.7
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",14.32,14.38,13.26,14.07,10.27,9.78,11.94,11.97,-1.088,-0.068,0.642,1.257,0.986,-1.348,-0.863,-0.027,16.6,54.9,70.9,85.6,82.4,6.3,22.5,54.5
49-9044.00,Millwrights,12.27,13.87,14.23,15.31,11.38,11.63,10.77,10.54,-1.61,-0.253,1.035,1.493,1.308,-0.81,-1.279,-0.766,3.1,46.1,84.5,90.9,87.1,26.0,8.6,21.8
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",19.76,20.06,12.9,1.94,4.12,11.89,15.41,13.91,0.295,1.992,0.496,-1.058,-0.795,-0.734,0.369,0.976,62.4,95.6,68.1,18.9,24.6,29.5,65.4,85.3
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",14.53,12.47,12.5,13.99,10.45,9.26,12.27,14.52,-1.035,-0.761,0.334,1.242,1.038,-1.499,-0.746,1.291,18.2,24.6,63.0,85.1,83.1,3.8,27.4,90.0
49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",12.6,13.04,14.39,16.0,11.6,10.0,11.09,11.29,-1.526,-0.554,1.1,1.625,1.371,-1.284,-1.165,-0.378,4.6,32.7,85.9,93.6,88.5,9.1,13.1,38.0
51-4061.00,"Model Makers, Metal and Plastic",13.43,14.44,16.42,14.57,10.19,7.47,11.18,12.29,-1.315,-0.046,1.922,1.352,0.963,-2.02,-1.134,0.139,8.8,55.8,96.9,87.5,81.9,0.2,14.5,61.1
51-7031.00,"Model Makers, Wood",14.84,13.74,16.78,12.99,8.3,9.55,11.09,12.71,-0.956,-0.3,2.068,1.051,0.416,-1.415,-1.165,0.356,20.7,44.2,97.8,79.2,68.1,5.3,13.1,70.7
41-9012.00,Models,23.06,10.97,11.95,13.45,4.2,15.39,10.26,10.72,1.134,-1.305,0.111,1.138,-0.772,0.283,-1.46,-0.673,87.2,5.5,56.4,80.9,25.8,61.2,3.5,25.7
51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",15.52,11.79,14.11,15.05,9.39,10.82,10.2,13.13,-0.783,-1.007,0.986,1.444,0.731,-1.046,-1.482,0.573,25.5,13.5,82.6,89.4,77.5,16.7,2.9,76.4
51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",14.35,12.17,12.82,14.96,12.91,8.69,11.48,12.62,-1.081,-0.87,0.464,1.427,1.751,-1.665,-1.027,0.309,16.9,19.1,66.6,89.1,94.2,2.2,17.4,69.0
19-1029.02,Molecular and Cellular Biologists,20.89,17.7,9.78,3.81,2.81,11.42,15.81,17.79,0.582,1.136,-0.767,-0.701,-1.174,-0.871,0.512,2.982,72.8,86.1,27.6,35.7,8.1,23.7,70.6,98.9
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",19.52,12.8,9.23,7.47,5.55,20.58,14.9,9.95,0.234,-0.641,-0.99,-0.003,-0.381,1.792,0.188,-1.071,59.3,28.5,18.2,55.8,43.2,96.4,59.2,12.1
39-3021.00,Motion Picture Projectionists,16.33,12.33,14.57,10.37,11.47,11.4,10.29,13.24,-0.577,-0.812,1.173,0.551,1.334,-0.877,-1.45,0.63,30.9,22.0,87.1,67.4,88.0,23.6,3.6,77.6
49-3051.00,Motorboat Mechanics and Service Technicians,13.02,14.5,13.15,13.68,13.46,11.3,9.78,11.11,-1.419,-0.025,0.597,1.182,1.91,-0.906,-1.631,-0.471,7.3,56.7,70.6,83.1,95.9,22.0,1.6,33.8
53-5022.00,Motorboat Operators,13.31,10.35,14.13,12.76,12.64,14.4,11.07,11.34,-1.345,-1.53,0.994,1.007,1.673,-0.005,-1.173,-0.352,8.3,2.0,82.9,77.9,93.3,52.9,12.5,39.0
49-3052.00,Motorcycle Mechanics,14.1,12.34,12.18,13.56,15.83,11.19,11.28,9.52,-1.144,-0.808,0.205,1.159,2.597,-0.938,-1.098,-1.293,14.7,22.3,58.8,81.9,99.1,21.0,15.4,7.5
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",14.07,12.31,13.79,13.25,11.78,10.68,11.94,12.18,-1.152,-0.819,0.857,1.1,1.424,-1.086,-0.863,0.082,14.2,21.7,78.3,80.5,89.4,15.2,22.5,58.5
25-4013.00,Museum Technicians and Conservators,19.2,13.18,13.95,7.91,9.49,11.2,12.7,12.37,0.153,-0.503,0.921,0.081,0.76,-0.935,-0.593,0.18,56.8,35.2,80.9,57.7,78.2,21.1,32.7,63.5
27-2041.00,Music Directors and Composers,16.27,11.29,11.69,4.47,22.01,12.05,12.97,9.26,-0.593,-1.189,0.006,-0.575,4.386,-0.688,-0.497,-1.428,30.4,7.9,52.7,39.3,100.0,31.4,36.2,5.5
29-1129.02,Music Therapists,16.38,11.21,10.25,4.67,12.85,18.82,18.25,7.57,-0.565,-1.218,-0.577,-0.537,1.733,1.28,1.379,-2.301,31.4,6.9,34.1,40.3,93.8,88.6,90.6,0.2
49-9063.00,Musical Instrument Repairers and Tuners,11.55,11.44,13.37,11.49,20.67,10.63,10.55,10.31,-1.793,-1.134,0.687,0.764,3.998,-1.101,-1.357,-0.885,1.9,9.4,72.5,71.9,99.8,14.9,6.2,18.1
27-2042.00,Musicians and Singers,16.75,8.84,13.7,7.27,21.02,11.02,10.92,10.47,-0.47,-2.077,0.82,-0.041,4.1,-0.987,-1.226,-0.802,34.0,0.2,77.2,55.0,99.9,18.9,10.3,20.8
39-9011.01,Nannies,17.95,12.25,9.77,8.39,7.24,17.18,17.08,10.13,-0.165,-0.841,-0.771,0.173,0.109,0.803,0.963,-0.978,43.3,20.4,27.4,60.0,60.4,76.0,81.7,14.7
17-2199.09,Nanosystems Engineers,18.39,20.34,12.34,4.71,3.52,10.9,15.05,14.75,-0.053,2.093,0.269,-0.529,-0.969,-1.022,0.242,1.41,48.3,96.3,61.1,40.6,17.4,17.3,60.6,91.2
17-3026.01,Nanotechnology Engineering Technologists and Technicians,19.08,18.09,11.7,7.52,5.75,10.6,13.23,14.03,0.122,1.277,0.01,0.007,-0.323,-1.11,-0.405,1.038,54.8,88.3,52.9,56.0,45.0,14.5,39.1,86.5
11-9121.00,Natural Sciences Managers,21.23,18.12,8.66,2.09,3.6,14.39,16.59,15.31,0.669,1.288,-1.221,-1.029,-0.946,-0.008,0.789,1.7,75.3,88.4,9.5,20.4,19.1,52.7,78.2,93.8
29-1299.01,Naturopathic Physicians,19.22,14.84,9.3,2.11,3.6,18.37,17.76,14.8,0.158,0.099,-0.962,-1.026,-0.946,1.149,1.204,1.436,56.9,61.6,19.4,20.6,19.1,84.5,87.0,91.5
15-1244.00,Network and Computer Systems Administrators,17.89,19.01,12.25,6.42,5.07,12.93,15.12,11.32,-0.181,1.611,0.233,-0.203,-0.52,-0.432,0.266,-0.363,42.5,92.1,59.6,50.3,37.4,39.6,61.1,38.5
29-2099.01,Neurodiagnostic Technologists,19.38,15.15,10.46,6.82,5.05,14.54,15.85,12.74,0.198,0.211,-0.492,-0.127,-0.526,0.036,0.526,0.371,57.9,66.2,37.5,51.8,37.0,54.5,71.3,71.0
29-1217.00,Neurologists,18.99,16.29,10.28,1.84,4.04,16.06,17.66,14.84,0.099,0.625,-0.565,-1.077,-0.818,0.478,1.169,1.457,53.8,75.7,34.2,17.8,24.0,66.1,86.5,91.9
19-3039.02,Neuropsychologists,21.38,15.17,7.85,1.86,3.73,18.82,19.33,11.88,0.707,0.218,-1.549,-1.073,-0.908,1.28,1.762,-0.073,76.7,66.3,3.4,17.9,20.9,88.6,94.5,52.6
43-4141.00,New Accounts Clerks,24.57,16.11,8.84,2.33,4.98,19.62,13.39,10.16,1.518,0.559,-1.148,-0.984,-0.546,1.513,-0.348,-0.962,93.1,74.3,11.7,22.7,35.8,92.2,41.3,16.1
27-3023.00,"News Analysts, Reporters, and Journalists",26.42,12.92,9.58,2.81,6.96,15.22,14.45,11.63,1.989,-0.598,-0.848,-0.892,0.028,0.234,0.028,-0.202,97.3,30.4,24.4,27.1,57.6,59.4,54.4,45.5
17-3029.01,Non-Destructive Testing Specialists,16.24,16.92,12.77,8.1,7.47,12.47,13.43,12.6,-0.6,0.853,0.444,0.118,0.175,-0.566,-0.334,0.299,30.2,81.2,65.9,58.7,62.3,35.0,41.6,68.3
17-2161.00,Nuclear Engineers,19.46,21.23,11.8,1.89,4.81,11.39,15.4,14.01,0.219,2.416,0.051,-1.068,-0.595,-0.88,0.366,1.028,58.7,98.0,54.0,18.0,33.6,23.4,65.2,86.1
29-2033.00,Nuclear Medicine Technologists,17.93,16.05,10.45,7.11,3.92,15.51,14.19,14.83,-0.17,0.537,-0.496,-0.071,-0.853,0.318,-0.064,1.452,42.7,73.5,37.4,53.9,22.9,62.0,50.3,91.7
19-4051.02,Nuclear Monitoring Technicians,17.65,16.46,11.56,6.65,8.32,11.12,14.91,13.33,-0.242,0.686,-0.046,-0.159,0.421,-0.958,0.192,0.676,40.3,77.7,51.5,51.1,68.5,20.1,59.3,78.7
51-8011.00,Nuclear Power Reactor Operators,16.66,16.73,11.87,7.0,9.77,10.96,14.29,12.71,-0.493,0.784,0.079,-0.092,0.841,-1.005,-0.028,0.356,33.4,79.3,55.3,52.9,79.3,17.9,52.5,70.7
19-4051.00,Nuclear Technicians,17.36,16.3,11.89,8.91,7.62,11.73,13.24,12.95,-0.315,0.628,0.087,0.272,0.219,-0.781,-0.402,0.48,37.6,75.8,55.6,62.4,63.6,27.5,39.3,74.2
29-1151.00,Nurse Anesthetists,16.3,15.93,9.11,6.02,6.99,15.94,15.59,14.12,-0.585,0.494,-1.039,-0.279,0.036,0.443,0.433,1.085,30.6,72.5,16.4,48.1,58.2,64.8,68.2,87.5
29-1161.00,Nurse Midwives,18.26,13.98,9.05,5.77,4.35,17.7,18.12,12.78,-0.086,-0.213,-1.063,-0.327,-0.728,0.955,1.332,0.392,47.3,48.1,15.1,46.5,27.4,79.0,89.6,72.1
29-1171.00,Nurse Practitioners,18.07,14.37,8.98,4.8,6.53,17.07,16.88,13.3,-0.135,-0.072,-1.091,-0.512,-0.097,0.772,0.892,0.661,45.3,54.7,14.3,41.1,53.1,75.2,80.4,78.4
31-1131.00,Nursing Assistants,18.17,11.73,9.39,10.69,6.56,18.46,14.83,10.16,-0.109,-1.029,-0.925,0.612,-0.088,1.176,0.163,-0.962,45.9,13.1,21.0,68.5,53.2,85.1,58.2,16.1
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",21.42,13.83,7.96,3.62,3.4,18.79,19.28,11.71,0.717,-0.268,-1.504,-0.737,-1.003,1.272,1.745,-0.161,77.2,45.5,4.1,33.7,15.1,88.1,94.2,47.5
29-1218.00,Obstetricians and Gynecologists,18.0,15.31,9.1,5.56,5.3,15.29,17.2,14.24,-0.153,0.269,-1.043,-0.367,-0.453,0.254,1.005,1.147,44.5,67.2,16.2,45.0,40.9,59.8,82.7,88.5
19-5011.00,Occupational Health and Safety Specialists,18.46,16.71,11.16,3.16,6.84,14.7,14.75,14.21,-0.036,0.777,-0.208,-0.825,-0.007,0.082,0.135,1.131,48.8,79.2,46.4,30.1,56.4,55.5,57.3,87.9
19-5012.00,Occupational Health and Safety Technicians,19.53,16.45,10.82,4.39,5.16,15.4,14.88,13.37,0.237,0.683,-0.346,-0.59,-0.494,0.286,0.181,0.697,59.6,77.6,42.1,38.7,38.3,61.3,58.6,79.4
29-1122.00,Occupational Therapists,17.99,12.69,8.82,5.58,6.16,19.27,19.4,10.09,-0.155,-0.681,-1.156,-0.363,-0.204,1.411,1.787,-0.999,44.0,27.0,11.2,45.1,49.3,90.4,94.9,14.1
31-2012.00,Occupational Therapy Aides,18.94,12.78,8.42,9.23,4.82,19.4,17.93,8.49,0.086,-0.648,-1.318,0.333,-0.592,1.449,1.265,-1.826,53.1,28.1,7.9,63.8,33.7,91.1,87.8,0.8
31-2011.00,Occupational Therapy Assistants,19.0,11.88,8.91,7.99,4.69,20.53,18.19,8.82,0.102,-0.975,-1.12,0.097,-0.63,1.777,1.357,-1.655,53.9,14.9,13.1,58.1,32.0,96.1,89.9,2.2
43-9061.00,"Office Clerks, General",24.16,14.19,10.15,3.2,6.81,15.96,13.74,11.77,1.414,-0.137,-0.617,-0.818,-0.016,0.449,-0.224,-0.13,91.5,51.8,33.1,30.6,56.2,65.1,45.4,49.3
43-9071.00,"Office Machine Operators, Except Computer",17.69,12.8,11.71,10.76,10.76,12.48,12.08,11.71,-0.231,-0.641,0.014,0.625,1.128,-0.563,-0.814,-0.161,40.7,28.5,53.2,68.7,84.5,35.3,25.2,47.5
13-1199.06,Online Merchants,23.6,17.15,10.31,1.82,3.17,17.36,15.57,11.01,1.272,0.936,-0.553,-1.081,-1.07,0.856,0.426,-0.523,89.3,82.9,34.7,17.6,12.4,77.3,67.7,31.4
47-2073.00,Operating Engineers and Other Construction Equipment Operators,13.05,10.63,15.45,15.97,13.02,9.9,11.02,10.96,-1.411,-1.428,1.529,1.619,1.783,-1.313,-1.19,-0.549,7.5,3.7,92.7,93.3,94.4,8.2,12.0,30.5
